tx_id,student_id,amount,channel,timestamp
TXN-582BC190,STU14546,446000,Bank,2026-05-08T02:30:13.060738
TXN-B89ECF48,STU45305,72000,Wallet,2026-05-08T13:28:13.060738
TXN-4D562BAA,STU21390,65000,Wallet,2026-05-04T23:58:13.060738
TXN-60203052,STU39793,73000,Wallet,2026-05-08T12:40:13.060738
TXN-99F74482,STU84946,215000,Bank,2026-05-05T10:44:13.060738
TXN-8A1956FE,STU90438,412000,Wallet,2026-05-10T09:34:13.060738
TXN-6AA43AF6,STU38109,435000,Bank,2026-05-11T07:16:13.060738
TXN-A79FABA4,STU69374,402000,Bank,2026-05-06T22:41:13.060738
TXN-0688C3FC,STU23495,456000,Bank,2026-05-07T06:14:13.060738
TXN-005C824D,STU70360,105000,Wallet,2026-05-07T11:55:13.060738
TXN-F75ECC3A,STU69809,134000,Bank,2026-05-07T20:18:13.060738
TXN-11896A80,STU81252,227000,Bank,2026-05-05T06:15:13.060738
TXN-4498577F,STU66010,61000,Bank,2026-05-06T16:38:13.060738
TXN-A3D6D49C,STU98711,473000,Bank,2026-05-05T11:01:13.060738
TXN-FF29A7A1,STU54235,103000,Bank,2026-05-08T05:39:13.060738
TXN-CBD0F4EF,STU29013,272000,Bank,2026-05-09T17:45:13.060738
TXN-4270CA11,STU88256,428000,Bank,2026-05-10T13:58:13.060738
TXN-D86D3932,STU16795,58000,Wallet,2026-05-09T16:57:13.060738
TXN-68C80DD3,STU37843,90000,Bank,2026-05-08T13:05:13.060738
TXN-9AC49F4C,STU26338,298000,Wallet,2026-05-10T19:10:13.060738
TXN-00F4DC24,STU47512,426000,Wallet,2026-05-09T22:55:13.060738
TXN-D72D7247,STU60700,63000,Bank,2026-05-07T14:59:13.060738
TXN-F28E1822,STU28765,273000,Bank,2026-05-06T07:58:13.060738
TXN-2BFE9537,STU64193,176000,Bank,2026-05-11T08:53:13.060738
TXN-738140F5,STU81067,187000,Wallet,2026-05-07T04:45:13.060738
TXN-38D15E2E,STU81077,422000,Wallet,2026-05-09T20:23:13.060738
TXN-B30DDD6A,STU56235,309000,Wallet,2026-05-11T17:25:13.060738
TXN-292C4442,STU83684,413000,Wallet,2026-05-09T02:09:13.060738
TXN-AECE9882,STU99580,351000,Bank,2026-05-07T19:56:13.060738
TXN-9A19EB8E,STU60881,476000,Bank,2026-05-08T14:04:13.060738
TXN-DE044C9F,STU18541,453000,Bank,2026-05-07T06:14:13.060738
TXN-3699CC24,STU58987,272000,Wallet,2026-05-11T04:11:13.060738
TXN-B22AC40E,STU15968,484000,Bank,2026-05-10T09:04:13.060738
TXN-EB4A0FF2,STU43736,150000,Wallet,2026-05-11T06:38:13.060738
TXN-47DD9DCE,STU50185,430000,Wallet,2026-05-10T21:59:13.060738
TXN-931A590A,STU81211,430000,Wallet,2026-05-07T01:47:13.060738
TXN-219D3E18,STU68156,491000,Bank,2026-05-10T21:56:13.060738
TXN-04959917,STU60131,425000,Wallet,2026-05-06T20:21:13.060738
TXN-EAEDC56F,STU17645,182000,Bank,2026-05-07T03:24:13.060738
TXN-DC11507C,STU23664,255000,Wallet,2026-05-09T20:02:13.060738
TXN-37623AE7,STU12323,416000,Bank,2026-05-09T21:11:13.060738
TXN-2DBA35EB,STU92220,179000,Wallet,2026-05-09T11:06:13.060738
TXN-8A5508E5,STU20693,456000,Bank,2026-05-08T19:54:13.060738
TXN-C1EB19A4,STU84492,105000,Bank,2026-05-09T11:55:13.060738
TXN-7F4AB170,STU59029,70000,Wallet,2026-05-05T14:43:13.060738
TXN-A1F9A6FA,STU44955,274000,Bank,2026-05-08T02:16:13.060738
TXN-34953893,STU19125,165000,Wallet,2026-05-06T20:31:13.060738
TXN-CC85BC64,STU92310,336000,Bank,2026-05-09T13:27:13.060738
TXN-A17BB0C2,STU37034,487000,Wallet,2026-05-05T07:13:13.060738
TXN-88E5D573,STU51496,455000,Bank,2026-05-07T17:33:13.060738
TXN-B2374B5B,STU13959,248000,Wallet,2026-05-11T07:39:13.060738
TXN-6BB6FE50,STU56374,174000,Bank,2026-05-08T12:12:13.060738
TXN-FF66BDE8,STU30677,403000,Wallet,2026-05-08T17:10:13.060738
TXN-AB02A099,STU25628,407000,Wallet,2026-05-07T03:13:13.060738
TXN-B8E68E07,STU14745,282000,Wallet,2026-05-05T08:50:13.060738
TXN-5D95F11A,STU60487,422000,Bank,2026-05-05T21:31:13.060738
TXN-D2D85A4E,STU88041,156000,Wallet,2026-05-09T16:25:13.060738
TXN-D3DA8613,STU70993,295000,Bank,2026-05-11T02:54:13.060738
TXN-F8C7E06D,STU48571,351000,Wallet,2026-05-05T11:47:13.060738
TXN-9EC38637,STU42983,172000,Wallet,2026-05-09T11:32:13.060738
TXN-C5093327,STU93964,203000,Wallet,2026-05-11T09:19:13.060738
TXN-94555B4A,STU24878,366000,Bank,2026-05-06T13:06:13.060738
TXN-054B0D4C,STU31494,184000,Bank,2026-05-09T09:40:13.060738
TXN-EAF15940,STU16046,399000,Bank,2026-05-11T13:27:13.060738
TXN-B4E6BBFA,STU11030,88000,Bank,2026-05-09T05:57:13.060738
TXN-0B92F759,STU65333,251000,Bank,2026-05-06T19:49:13.060738
TXN-609B54A6,STU88132,323000,Wallet,2026-05-08T07:32:13.060738
TXN-0ACE55E7,STU60506,194000,Bank,2026-05-05T00:16:13.060738
TXN-8DC33164,STU98022,229000,Bank,2026-05-05T23:10:13.060738
TXN-8AECDE9F,STU56621,258000,Bank,2026-05-06T09:26:13.060738
TXN-01A3000B,STU90377,67000,Wallet,2026-05-04T22:05:13.060738
TXN-4BB4116F,STU89561,71000,Wallet,2026-05-09T19:21:13.060738
TXN-2291A18C,STU30923,355000,Bank,2026-05-06T19:17:13.060738
TXN-4C1E8EC6,STU45219,194000,Bank,2026-05-09T02:19:13.060738
TXN-8D0A34CA,STU85062,473000,Bank,2026-05-07T11:34:13.060738
TXN-D796642B,STU58656,477000,Bank,2026-05-09T04:35:13.060738
TXN-98344347,STU50374,352000,Wallet,2026-05-05T22:21:13.060738
TXN-02D273DE,STU67366,229000,Bank,2026-05-08T04:02:13.060738
TXN-62CB8A36,STU93280,255000,Bank,2026-05-07T08:38:13.060738
TXN-D2BE9BAB,STU38240,465000,Wallet,2026-05-09T04:54:13.060738
TXN-FD4C4894,STU11524,123000,Bank,2026-05-11T01:09:13.060738
TXN-ECCC22A2,STU71777,99000,Wallet,2026-05-09T07:04:13.060738
TXN-584C2489,STU59950,404000,Bank,2026-05-08T16:38:13.060738
TXN-1AC66F80,STU19850,269000,Wallet,2026-05-09T22:12:13.060738
TXN-53F00058,STU19052,318000,Wallet,2026-05-07T08:21:13.060738
TXN-2A9622ED,STU82949,500000,Wallet,2026-05-10T09:48:13.060738
TXN-CB88E59E,STU73007,226000,Bank,2026-05-08T02:24:13.060738
TXN-4302F550,STU70247,107000,Wallet,2026-05-07T02:31:13.060738
TXN-C6784853,STU64397,88000,Bank,2026-05-06T03:29:13.060738
TXN-1BEFD559,STU33045,300000,Bank,2026-05-06T18:24:13.060738
TXN-812CEDD6,STU50809,382000,Wallet,2026-05-10T10:00:13.060738
TXN-35C9CDE9,STU76057,332000,Bank,2026-05-05T12:55:13.060738
TXN-4C1ACC10,STU52149,379000,Bank,2026-05-08T18:29:13.060738
TXN-C7252822,STU31228,121000,Wallet,2026-05-10T18:51:13.060738
TXN-1053F9FE,STU72731,482000,Bank,2026-05-05T08:56:13.060738
TXN-3807D079,STU15265,463000,Wallet,2026-05-08T12:27:13.060738
TXN-2BACC866,STU79771,387000,Bank,2026-05-05T18:59:13.060738
TXN-F378CAE4,STU29463,50000,Wallet,2026-05-08T02:31:13.060738
TXN-B1CA2607,STU33037,271000,Bank,2026-05-08T01:25:13.060738
TXN-08CA6EDC,STU45754,65000,Wallet,2026-05-08T01:13:13.060738
TXN-EEF282D7,STU13164,184000,Wallet,2026-05-09T06:21:13.060738
TXN-85418D2E,STU38000,182000,Wallet,2026-05-09T01:47:13.060738
TXN-C68057CD,STU19206,80000,Wallet,2026-05-09T13:28:13.060738
TXN-705952BB,STU16143,83000,Bank,2026-05-08T11:16:13.060738
TXN-1EA4AD6E,STU89146,161000,Wallet,2026-05-05T12:37:13.060738
TXN-6CAF3769,STU18729,487000,Wallet,2026-05-08T00:40:13.060738
TXN-3D64EDEB,STU89275,222000,Wallet,2026-05-08T20:00:13.060738
TXN-22255FBF,STU98599,369000,Bank,2026-05-10T17:45:13.060738
TXN-225E7FDA,STU96218,53000,Bank,2026-05-08T05:19:13.060738
TXN-0AD8DBD3,STU33186,201000,Wallet,2026-05-05T05:26:13.060738
TXN-71FCC213,STU78287,58000,Bank,2026-05-11T04:38:13.060738
TXN-C5487C23,STU85554,122000,Wallet,2026-05-08T09:25:13.060738
TXN-C6774F07,STU44350,409000,Bank,2026-05-06T08:30:13.060738
TXN-70FA5A7F,STU92337,172000,Wallet,2026-05-10T01:40:13.060738
TXN-89703A92,STU21615,345000,Wallet,2026-05-08T10:40:13.060738
TXN-21BB03ED,STU65575,167000,Wallet,2026-05-08T15:53:13.060738
TXN-F96BC408,STU16854,306000,Bank,2026-05-05T13:42:13.060738
TXN-8FCC44A0,STU89061,466000,Wallet,2026-05-11T16:47:13.060738
TXN-80C43B84,STU10711,424000,Bank,2026-05-09T20:29:13.060738
TXN-BF8F71C6,STU22651,51000,Wallet,2026-05-06T08:02:13.060738
TXN-442B40D6,STU70996,270000,Wallet,2026-05-05T23:15:13.060738
TXN-5E896A16,STU89304,432000,Wallet,2026-05-10T11:20:13.060738
TXN-F9E18284,STU27161,302000,Bank,2026-05-06T11:25:13.060738
TXN-9E620DB8,STU48216,427000,Wallet,2026-05-07T20:56:13.060738
TXN-98A5ACB4,STU77133,70000,Wallet,2026-05-10T11:24:13.060738
TXN-D59A799E,STU21501,244000,Wallet,2026-05-06T01:31:13.060738
TXN-E8E9F680,STU72220,196000,Bank,2026-05-05T10:14:13.060738
TXN-632A01F9,STU50625,298000,Wallet,2026-05-06T23:19:13.060738
TXN-E5A9394A,STU21198,200000,Wallet,2026-05-10T18:27:13.060738
TXN-F21E1913,STU75482,478000,Bank,2026-05-10T16:47:13.060738
TXN-75A1ACD0,STU64969,386000,Wallet,2026-05-08T20:56:13.060738
TXN-7BDC0AA0,STU34829,321000,Wallet,2026-05-05T19:08:13.060738
TXN-51FD5A1C,STU11159,431000,Bank,2026-05-06T11:50:13.060738
TXN-3ECB860D,STU93873,147000,Wallet,2026-05-06T13:10:13.060738
TXN-F60F04D2,STU90581,166000,Wallet,2026-05-05T02:05:13.060738
TXN-5FFAA78A,STU38669,300000,Bank,2026-05-05T23:16:13.060738
TXN-F2B64BF8,STU61067,451000,Wallet,2026-05-10T06:35:13.060738
TXN-D79E53FA,STU42215,92000,Bank,2026-05-10T17:08:13.060738
TXN-60173D81,STU82149,214000,Bank,2026-05-07T20:51:13.060738
TXN-1EAA93B0,STU64361,58000,Wallet,2026-05-06T14:34:13.060738
TXN-CDB8B5D3,STU88777,166000,Bank,2026-05-05T21:42:13.060738
TXN-A927B063,STU79833,91000,Bank,2026-05-11T11:10:13.060738
TXN-E83B2178,STU42224,484000,Bank,2026-05-05T01:24:13.060738
TXN-76BD1E9A,STU94272,175000,Wallet,2026-05-09T17:00:13.060738
TXN-E221B25D,STU20814,462000,Bank,2026-05-07T18:03:13.060738
TXN-4073B1FF,STU68217,78000,Bank,2026-05-10T05:57:13.060738
TXN-81CF77A5,STU95247,378000,Wallet,2026-05-08T03:06:13.060738
TXN-02D58A65,STU39611,476000,Bank,2026-05-05T16:29:13.060738
TXN-62090C52,STU26307,129000,Bank,2026-05-08T14:39:13.060738
TXN-8B77530C,STU49905,279000,Bank,2026-05-06T09:19:13.060738
TXN-0CD4D1B9,STU42662,91000,Bank,2026-05-06T17:01:13.060738
TXN-347D7B9E,STU63964,88000,Wallet,2026-05-09T14:53:13.060738
TXN-70A91A24,STU88267,311000,Bank,2026-05-06T18:14:13.060738
TXN-DF90FEA1,STU67314,422000,Bank,2026-05-11T09:01:13.060738
TXN-9BF27B46,STU83257,278000,Wallet,2026-05-06T22:24:13.060738
TXN-B1A21215,STU58128,165000,Wallet,2026-05-07T10:57:13.060738
TXN-2DCFA67A,STU70899,453000,Bank,2026-05-10T15:22:13.060738
TXN-62515A2F,STU87353,209000,Wallet,2026-05-05T08:21:13.060738
TXN-82F83920,STU20524,176000,Wallet,2026-05-11T01:33:13.060738
TXN-E0EA272A,STU75034,70000,Bank,2026-05-09T02:34:13.060738
TXN-830BB641,STU70134,304000,Wallet,2026-05-05T05:13:13.060738
TXN-40D40C23,STU54780,272000,Wallet,2026-05-08T06:46:13.060738
TXN-97B3CF13,STU53012,389000,Wallet,2026-05-08T10:39:13.060738
TXN-31246E63,STU39726,284000,Bank,2026-05-10T03:58:13.060738
TXN-6C421C85,STU65672,170000,Wallet,2026-05-08T07:59:13.060738
TXN-FC5BE7BE,STU66268,378000,Bank,2026-05-07T13:36:13.060738
TXN-C7942AE6,STU43587,88000,Bank,2026-05-07T21:26:13.060738
TXN-536651FC,STU97324,234000,Bank,2026-05-07T17:39:13.060738
TXN-5C0B5280,STU55192,490000,Bank,2026-05-08T21:15:13.060738
TXN-FCD64575,STU26750,313000,Wallet,2026-05-11T19:23:13.060738
TXN-D40E2C5C,STU41449,374000,Wallet,2026-05-05T15:25:13.060738
TXN-2221905F,STU63200,218000,Wallet,2026-05-10T01:02:13.060738
TXN-CF8E6A7C,STU63360,227000,Bank,2026-05-07T19:50:13.060738
TXN-519E6D5B,STU78064,246000,Wallet,2026-05-05T04:48:13.060738
TXN-415BF96A,STU79526,299000,Wallet,2026-05-06T20:22:13.060738
TXN-6F5B7149,STU83900,154000,Bank,2026-05-10T19:33:13.060738
TXN-C5909C4D,STU86831,81000,Bank,2026-05-06T16:24:13.060738
TXN-D3A75952,STU29689,386000,Wallet,2026-05-05T11:28:13.060738
TXN-FF284CB2,STU43077,174000,Bank,2026-05-06T14:39:13.060738
TXN-3F486A7F,STU60528,129000,Bank,2026-05-06T07:00:13.060738
TXN-BF35C932,STU90043,214000,Wallet,2026-05-08T13:02:13.060738
TXN-1374DBFE,STU79194,255000,Bank,2026-05-07T22:43:13.060738
TXN-4D8CE634,STU52072,247000,Wallet,2026-05-07T14:05:13.060738
TXN-91E70D97,STU86027,260000,Bank,2026-05-10T17:20:13.060738
TXN-8DF56EF5,STU92127,267000,Wallet,2026-05-05T03:36:13.060738
TXN-51319EE9,STU66710,244000,Bank,2026-05-07T11:54:13.060738
TXN-3CE0E790,STU53977,148000,Bank,2026-05-08T11:54:13.060738
TXN-3F4D1BBE,STU38283,423000,Bank,2026-05-09T20:32:13.060738
TXN-D2ED3329,STU92351,113000,Wallet,2026-05-06T03:00:13.060738
TXN-75756383,STU73021,361000,Wallet,2026-05-05T11:48:13.060738
TXN-4A5824B5,STU13797,61000,Bank,2026-05-08T06:19:13.060738
TXN-1F777539,STU30548,231000,Bank,2026-05-09T18:56:13.060738
TXN-D4A1D47A,STU74145,119000,Wallet,2026-05-07T03:22:13.060738
TXN-3176CA9F,STU35081,184000,Bank,2026-05-07T23:33:13.060738
TXN-2BDB04C6,STU48475,142000,Wallet,2026-05-09T06:49:13.060738
TXN-E9A39D4F,STU25221,149000,Wallet,2026-05-10T10:39:13.060738
TXN-3F953134,STU97129,499000,Wallet,2026-05-10T13:50:13.060738
TXN-5E23FFB1,STU82046,97000,Wallet,2026-05-09T04:11:13.060738
TXN-1FDD3F0B,STU45011,271000,Wallet,2026-05-09T15:44:13.060738
TXN-863F066A,STU54697,193000,Wallet,2026-05-10T23:11:13.060738
TXN-4931DABB,STU50429,427000,Wallet,2026-05-05T23:11:13.060738
TXN-8C8C797A,STU28909,275000,Wallet,2026-05-08T23:25:13.060738
TXN-99E51130,STU94534,351000,Bank,2026-05-10T20:58:13.060738
TXN-8FD0E7B2,STU52575,251000,Wallet,2026-05-11T00:57:13.060738
TXN-A23CDA18,STU34160,494000,Wallet,2026-05-07T19:38:13.060738
TXN-767B92B9,STU74891,73000,Bank,2026-05-10T03:56:13.060738
TXN-812E9961,STU92275,379000,Bank,2026-05-07T01:47:13.060738
TXN-7BF6785A,STU58591,262000,Bank,2026-05-08T01:05:13.060738
TXN-5E995805,STU58533,301000,Bank,2026-05-07T04:12:13.060738
TXN-1B7B4608,STU14043,326000,Bank,2026-05-09T15:44:13.060738
TXN-23757A61,STU74122,316000,Bank,2026-05-05T22:24:13.060738
TXN-C3D09E6C,STU16850,346000,Wallet,2026-05-07T13:35:13.060738
TXN-2D56C993,STU59888,106000,Bank,2026-05-11T06:19:13.060738
TXN-410F2583,STU64118,220000,Wallet,2026-05-09T01:11:13.060738
TXN-3B386B61,STU15594,321000,Wallet,2026-05-07T01:07:13.060738
TXN-4849FB25,STU49835,329000,Bank,2026-05-07T10:36:13.060738
TXN-C1C008E9,STU96078,183000,Bank,2026-05-08T00:05:13.060738
TXN-44B81032,STU21578,422000,Bank,2026-05-10T22:13:13.060738
TXN-F8487826,STU57861,196000,Bank,2026-05-11T15:08:13.060738
TXN-41363537,STU90856,350000,Wallet,2026-05-09T12:29:13.060738
TXN-9D17C21D,STU62649,138000,Wallet,2026-05-09T03:47:13.060738
TXN-EEB4A7AF,STU58243,348000,Bank,2026-05-05T21:59:13.060738
TXN-1212FEC9,STU71286,107000,Bank,2026-05-06T02:17:13.060738
TXN-C8C2EAA9,STU26149,118000,Wallet,2026-05-08T17:37:13.060738
TXN-B12631B1,STU60986,406000,Bank,2026-05-09T11:00:13.060738
TXN-E1E5484D,STU38221,387000,Wallet,2026-05-08T18:04:13.060738
TXN-C22F9BF0,STU45165,336000,Bank,2026-05-11T16:20:13.060738
TXN-80F50FA1,STU57552,130000,Wallet,2026-05-11T00:42:13.060738
TXN-E753AE2A,STU84903,360000,Wallet,2026-05-10T00:48:13.060738
TXN-352D6040,STU17085,487000,Wallet,2026-05-11T01:30:13.060738
TXN-D0A9869D,STU24997,162000,Bank,2026-05-11T08:11:13.060738
TXN-F7DFCB9D,STU90192,304000,Bank,2026-05-10T18:49:13.060738
TXN-9BFDD60A,STU67610,181000,Bank,2026-05-05T08:10:13.060738
TXN-420C9DF6,STU40669,437000,Wallet,2026-05-06T16:19:13.060738
TXN-19314116,STU32682,479000,Bank,2026-05-06T12:16:13.060738
TXN-5CE9E246,STU23808,57000,Bank,2026-05-06T20:55:13.060738
TXN-6BE243F1,STU16565,347000,Wallet,2026-05-10T09:30:13.060738
TXN-47B7CD95,STU16441,357000,Wallet,2026-05-10T09:11:13.060738
TXN-10D25647,STU76528,102000,Bank,2026-05-11T04:07:13.060738
TXN-DF1F9BC7,STU98811,375000,Bank,2026-05-07T20:47:13.060738
TXN-52CFE636,STU80847,265000,Bank,2026-05-06T04:25:13.060738
TXN-2501B71F,STU15142,407000,Wallet,2026-05-08T07:28:13.060738
TXN-CDCA52D9,STU37071,314000,Wallet,2026-05-11T03:29:13.060738
TXN-F2CDF193,STU93177,160000,Wallet,2026-05-06T02:37:13.060738
TXN-4FE994E8,STU66062,90000,Wallet,2026-05-11T17:10:13.060738
TXN-4BBCCE0F,STU28019,59000,Wallet,2026-05-10T10:52:13.060738
TXN-B829A938,STU32283,343000,Wallet,2026-05-08T02:58:13.060738
TXN-6CBCE708,STU38352,371000,Bank,2026-05-07T05:58:13.060738
TXN-886558C0,STU17866,150000,Bank,2026-05-08T16:15:13.060738
TXN-8B66AFE6,STU95458,414000,Wallet,2026-05-05T18:43:13.060738
TXN-E1D19D6A,STU64426,287000,Wallet,2026-05-05T14:19:13.060738
TXN-82D10702,STU42290,182000,Wallet,2026-05-07T12:44:13.060738
TXN-F7450747,STU16010,284000,Wallet,2026-05-11T01:10:13.060738
TXN-C8BCA528,STU42253,457000,Wallet,2026-05-11T13:01:13.060738
TXN-4C22B0CD,STU66289,141000,Wallet,2026-05-05T18:55:13.060738
TXN-883853DF,STU13085,173000,Wallet,2026-05-09T01:30:13.060738
TXN-6208CFF5,STU24971,132000,Wallet,2026-05-09T10:24:13.060738
TXN-0FCA092E,STU87597,332000,Wallet,2026-05-06T20:22:13.060738
TXN-38CB6058,STU95818,253000,Wallet,2026-05-05T10:45:13.060738
TXN-205A47B4,STU41748,211000,Bank,2026-05-10T17:11:13.060738
TXN-7B55F380,STU63344,350000,Wallet,2026-05-05T23:12:13.060738
TXN-F04D50F8,STU91250,372000,Bank,2026-05-10T05:41:13.060738
TXN-386127B0,STU75268,268000,Wallet,2026-05-10T05:39:13.060738
TXN-ED50510B,STU96516,72000,Wallet,2026-05-06T11:31:13.060738
TXN-17DB4420,STU41245,169000,Bank,2026-05-10T08:18:13.060738
TXN-1CF85AEC,STU93071,403000,Wallet,2026-05-07T04:14:13.060738
TXN-14574ED2,STU37362,176000,Wallet,2026-05-05T04:13:13.060738
TXN-27477326,STU97850,231000,Bank,2026-05-11T09:56:13.060738
TXN-F4DB53BC,STU99139,271000,Bank,2026-05-08T04:53:13.060738
TXN-9E4AFE72,STU92377,269000,Wallet,2026-05-10T09:09:13.060738
TXN-D23D3C83,STU80073,325000,Wallet,2026-05-07T05:39:13.060738
TXN-69A959EC,STU20320,268000,Bank,2026-05-11T05:19:13.060738
TXN-6836510A,STU59957,294000,Wallet,2026-05-09T00:27:13.060738
TXN-22FFBAB7,STU82358,277000,Wallet,2026-05-10T13:56:13.060738
TXN-5FDD9F65,STU25248,263000,Bank,2026-05-11T13:38:13.060738
TXN-0D94FF83,STU73362,231000,Wallet,2026-05-08T10:14:13.060738
TXN-A0ECAB63,STU78285,112000,Wallet,2026-05-05T09:16:13.060738
TXN-826CE965,STU44419,126000,Wallet,2026-05-10T17:16:13.060738
TXN-256E07AF,STU74638,394000,Wallet,2026-05-07T10:50:13.060738
TXN-847BA833,STU59517,176000,Wallet,2026-05-11T15:09:13.060738
TXN-93337BB8,STU61901,411000,Bank,2026-05-08T12:36:13.060738
TXN-AAD45ED8,STU98857,259000,Bank,2026-05-09T01:30:13.060738
TXN-F0AD60E4,STU57202,155000,Wallet,2026-05-07T18:47:13.060738
TXN-70269B87,STU40583,386000,Bank,2026-05-07T09:43:13.060738
TXN-D66DAAE1,STU88168,390000,Wallet,2026-05-05T19:16:13.060738
TXN-C2B487D4,STU42640,59000,Bank,2026-05-10T08:15:13.060738
TXN-FC9B195B,STU73753,274000,Bank,2026-05-05T08:19:13.060738
TXN-CEBDE5E2,STU51241,439000,Bank,2026-05-05T05:28:13.060738
TXN-F3AD880B,STU78970,67000,Wallet,2026-05-11T17:10:13.060738
TXN-00C72A02,STU22478,179000,Bank,2026-05-11T06:49:13.060738
TXN-A8779F4A,STU46139,177000,Wallet,2026-05-11T16:10:13.060738
TXN-F5260C90,STU67354,191000,Bank,2026-05-09T21:19:13.060738
TXN-CDAED6B6,STU31034,117000,Bank,2026-05-05T23:48:13.060738
TXN-C67F2ADC,STU39746,434000,Bank,2026-05-06T05:59:13.060738
TXN-777EC1C1,STU58663,188000,Wallet,2026-05-11T05:38:13.060738
TXN-C978484C,STU55678,262000,Wallet,2026-05-08T21:56:13.060738
TXN-FDE6E743,STU74190,127000,Wallet,2026-05-07T04:34:13.060738
TXN-D24887D3,STU90548,82000,Bank,2026-05-06T15:06:13.060738
TXN-31875901,STU86509,367000,Wallet,2026-05-08T03:21:13.060738
TXN-04802361,STU63884,86000,Wallet,2026-05-06T09:50:13.060738
TXN-96489C34,STU15679,468000,Bank,2026-05-09T21:11:13.060738
TXN-F554F3DA,STU66387,256000,Wallet,2026-05-05T00:36:13.060738
TXN-9B2A5ADC,STU32702,401000,Wallet,2026-05-10T00:39:13.060738
TXN-45F4BEAA,STU28041,283000,Wallet,2026-05-06T20:47:13.060738
TXN-3E03826D,STU35051,202000,Wallet,2026-05-06T14:03:13.060738
TXN-F87E7E3B,STU30245,381000,Bank,2026-05-05T23:24:13.060738
TXN-4293E079,STU86353,58000,Wallet,2026-05-10T18:00:13.060738
TXN-57A83B5C,STU80095,476000,Bank,2026-05-11T08:34:13.060738
TXN-08289B8B,STU43683,140000,Bank,2026-05-08T12:01:13.060738
TXN-851A64CB,STU59167,379000,Bank,2026-05-09T05:44:13.060738
TXN-41280D50,STU14803,283000,Wallet,2026-05-07T00:39:13.060738
TXN-0D47E439,STU65811,102000,Bank,2026-05-05T06:33:13.060738
TXN-F1A97B17,STU73632,98000,Bank,2026-05-08T13:28:13.060738
TXN-116BAC65,STU90236,432000,Wallet,2026-05-08T16:52:13.060738
TXN-8A41DC5E,STU57575,165000,Bank,2026-05-05T21:54:13.060738
TXN-F1F8FBDE,STU66044,187000,Bank,2026-05-09T21:11:13.060738
TXN-CB377825,STU64237,201000,Bank,2026-05-05T09:34:13.060738
TXN-E3F3E754,STU54570,61000,Bank,2026-05-08T07:35:13.060738
TXN-3FF542E4,STU33555,71000,Wallet,2026-05-10T18:11:13.060738
TXN-B26DF8E1,STU98933,71000,Wallet,2026-05-08T14:24:13.060738
